word,cnt_word
balance,42
balanced,6
balances,3
balancing,4
ballpark,1
bank,88
bankers,7
banking,66
bankruptcies,2
banks,200
banque,3
bar,5
barely,1
barrels,1
barriers,2
barro,1
bars,1
based,43
baseline,9
bases,1
basic,4
basis,21
battle,1
bayliss,1
bcbs,1
bear,8
bearing,3
bears,2
began,22
begin,14
beginning,9
beginnings,1
begins,1
begun,3
behalf,4
behave,1
behaved,1
behavior,5
bekaert,1
believe,31
beltway,1
ben,4
bena,2
benchmark,10
benchmarks,2
bends,1
beneficiaries,1
benefit,19
benefited,1
benefiting,3
benefits,28
benign,1
benjamin,1
bernanke,6
best,42
bests,1
bet,1
beth,1
better,49
bettering,1
beware,1
biennial,2
big,10
bigger,1
biggest,1
bilateral,1
billion,10
bills,3
binding,1
biometrics,1
bipartisan,1
birth,2
bit,13
bitcoin,2
bitcoins,1
blackwell,1
blame,1
blanchard,1
blending,1
blessed,1
blessing,1
blinder,2
blips,1
blockchain,1
blocks,1
blow,2
bls,3
blue,2
blueprint,1
blues,3
bnym,5
board,52
boards,23
bodies,1
body,4
boiling,1
bolster,1
bolstered,1
bond,4
bonds,4
book,2
books,1
boom,8
boomers,3
booming,1
booms,2
boost,4
boosted,1
boosting,2
border,10
bordo,2
born,1
borrow,2
borrowed,2
borrowers,12
borrowing,13
bounce,1
bounced,1
bound,15
boundaries,1
bouts,3
bowman,2
box,2
brainard,4
branch,1
branches,2
brass,1
brave,2
brazil,3
breadth,3
break,1
breakevens,2
breaking,2
bretton,2
brexit,12
brian,1
bridge,2
brief,4
briefing,1
briefly,9
brightened,1
brighter,1
bring,14
bringing,5
brings,7
british,1
broad,37
broader,11
broadest,1
broadly,29
broke,1
broker,5
brokering,1
brokers,1
brookings,2
brothers,2
brought,8
brown,1
bruno,1
brunt,1
brynjolfsson,1
bsa,1
bubble,5
budged,2
budget,1
buffers,1
build,16
building,9
builds,2
buildup,7
built,5
bundled,1
burden,13
burdens,5
burdensome,3
bureau,5
buried,1
business,94
businesses,60
bust,3
busts,1
buttons,1
bystanders,1
cacophony,1
calculation,2
calendar,1
calibrated,2
calibration,1
calibrations,1
california,1
called,9
calling,1
calls,6
calm,1
cambridge,3
came,3
campus,1
candid,1
candidates,1
capabilities,5
capability,2
capable,2
capacity,11
capital,59
capitalization,1
capitalize,1
capitalized,2
caption,1
capture,3
captures,2
card,1
cards,1
care,11
career,4
careers,4
careful,5
carefully,16
cares,2
carnegie,1
carries,2
carry,6
carrying,1
cascades,1
case,27
cases,12
cash,24
catalyst,1
catastrophic,1
categories,6
category,4
cater,1
caught,1
cause,8
caused,3
causes,4
causing,2
cautionary,1
cautiously,1
cavallo,1
ccar,2
ccp,18
ccps,29
ccr,2
cdos,2
ceded,1
ceiling,1
ceilings,1
celebrate,2
center,6
centered,2
central,85
centralized,1
centrally,2
centric,1
centuries,3
century,16
certain,8
certainly,9
certainty,2
cessation,1
cftc,3
chad,1
chains,3
chair,16
chaired,2
chairing,1
chairman,8
challenge,15
challenged,1
challenges,50
challenging,22
chance,4
chances,1
chandelier,1
chandra,1
change,37
changed,11
changes,64
changing,16
channel,5
channeling,1
channels,5
chapter,1
chapters,2
character,1
characteristics,6
characterizations,1
characterized,1
charged,4
chari,1
charles,1
charter,1
chartered,2
chartering,1
charting,1
charts,2
chase,1
check,4
checking,1
checklist,2
checks,1
checkup,1
chest,1
chetty,2
chicago,13
children,3
china,20
chinese,7
chip,1
choice,6
choices,1
choking,1
choose,2
chooses,1
choosing,2
chose,2
chosen,5
chris,1
christina,1
christine,1
circle,2
circulating,1
circumstance,1
circumstances,10
cisneros,1
cities,1
citizens,5
city,6
civic,1
civil,3
clarifies,1
clarify,2
clarity,2
clarksdale,5
class,9
classes,2
classified,1
classroom,1
clean,1
clear,25
cleared,7
clearer,3
clearest,1
clearing,30
clearly,19
clears,1
cleveland,3
clients,2
cliff,1
clip,1
clo,2
clock,1
clos,4
close,30
closed,3
closely,11
closer,8
closing,3
closure,2
cloud,1
club,3
clustered,1
coalescing,1
coalition,1
coast,1
codes,1
coherent,2
coincidence,1
collaborate,1
collaborating,1
collaboration,2
collaborative,2
collapse,6
collateral,7
collateralized,3
colleague,2
colleagues,33
collect,2
collected,1
collecting,3
collection,1
collective,7
collectively,4
college,14
colleges,2
collis,1
color,1
column,1
com,2
combat,2
combination,3
combine,1
combined,6
come,18
comes,9
comfort,1
comfortable,2
coming,7
commend,2
commending,1
commensurate,1
comment,3
commentary,3
commentators,2
comments,6
commerce,4
commercial,7
commission,7
commissioned,1
commissions,1
commitment,8
committed,18
committee,85
commodities,1
commodity,4
common,8
communicate,3
communicated,2
communicating,2
communication,17
communications,31
communities,54
community,99
companies,8
company,2
comparable,1
compare,2
compared,3
comparing,1
comparison,3
compel,2
compensated,1
compensation,3
compete,2
competing,2
competition,12
competitive,1
competitors,1
complacent,1
complaining,1
complement,3
complementary,2
complements,1
complete,4
completed,2
completely,3
completion,1
complex,13
complexity,3
compliance,5
complicate,2
complicated,4
complicates,1
complications,3
comply,2
component,2
components,1
composed,1
composition,3
compounded,1
comprehensive,9
compromise,5
comptroller,3
computational,1
computer,1
computing,1
conceivably,1
conceiving,1
concentrated,7
concentration,1
concept,2
concepts,1
conceptual,2
concern,7
concerned,6
concerning,1
concerns,14
conclude,13
concluded,2
concluding,2
conclusion,16
conclusionas,1
conclusions,8
concrete,1
condition,4
conditions,64
conduct,11
conducted,1
conducting,20
conference,30
conferences,3
conferred,1
confidence,16
confident,6
confine,1
confirm,2
confirmed,1
confirms,1
conflicting,1
confront,2
confronted,1
confronting,3
confronts,1
confused,1
confusion,3
congratulations,1
congress,35
congressional,2
conjunction,2
conjured,1
connect,1
connected,2
connection,4
connectivity,1
connor,1
cons,1
consecutive,3
consensus,16
consent,2
consequences,7
consequently,3
consider,19
considerable,5
considerably,2
consideration,3
considerations,7
considered,7
considering,12
consigned,1
consistency,1
consistent,19
consistently,8
consisting,1
consolidation,1
constant,5
constantly,3
constituency,2
constitution,1
constitutional,1
constrained,2
constraints,1
constructed,1
constructive,1
consultation,2
consumer,25
consumers,20
consumption,9
contact,1
contacts,4
contain,3
contained,2
contemplating,1
content,3
context,18
conti,1
contingencies,1
contingency,3
continually,1
continue,70
continued,36
continues,17
continuing,8
continuity,2
continuous,1
contract,1
contraction,1
contractionary,1
contractions,2
contracts,6
contractual,1
contrary,1
contrast,7
contribute,11
contributed,8
contributing,6
contribution,3
contributions,7
control,14
controlling,2
controls,1
convene,1
convened,1
convenience,6
convenient,7
convening,1
conventional,4
conversation,4
conversations,5
convert,4
converted,1
conveys,1
convincing,2
cooperate,1
cooperation,8
cooperative,2
coordinate,4
coordinated,5
coordination,2
coping,2
core,20
coronavirus,5
corporate,7
corporates,2
corporation,8
corporations,1
corrections,1
cosponsored,1
cost,17
costly,3
costs,15
council,9
counseling,1
count,1
counted,3
counter,5
counterfeiting,1
countering,1
counterintuitive,1
counterparties,3
counterparts,2
counterparty,4
countless,2
countries,11
country,34
county,1
couple,1
coupled,1
courage,1
course,35
cover,5
coverage,1
covering,3
covers,1
covid,5
covitz,1
cpmi,5
cra,12
cracks,1
crash,1
create,14
created,10
creating,13
creation,8
creative,3
creatively,1
creativity,1
credibility,3
credible,2
credit,63
creditor,1
creditworthy,2
criminal,1
crises,8
crisis,152
criteria,8
critical,22
criticality,1
critically,2
criticism,2
criticizing,1
critics,1
critique,1
critiques,1
cross,13
crosscurrents,4
crowded,1
crown,1
crs,1
crucial,5
cruelty,1
cryptography,2
crystal,1
culture,1
cumbersome,1
cunliffe,2
currencies,5
currency,19
current,59
currently,17
currents,1
curve,14
customarily,1
customer,3
customers,11
cut,4
cutting,3
cyber,5
cycle,10
cycles,3
cyclical,2
daan,1
daily,7
dale,1
daly,1
damage,14
damaged,4
damper,1
damping,1
dangerous,1
dangers,1
daniel,2
dare,1
darras,1
data,74
date,5
daughter,1
daunting,1
dave,1
david,15
day,19
days,4
dead,2
deal,10
dealer,1
dealers,5
dealing,1
dealt,1
death,2
debate,2
debated,1
debates,1
debit,1
debt,43
debts,1
decade,20
decades,20
deceleration,1
december,8
decentralized,1
decide,1
decided,1
deciding,1
decision,5
decisionmaking,5
decisions,35
decisively,1
decline,35
declined,11
declines,5
declining,10
decrease,2
dedicated,6
dedication,3
deep,9
deepest,2
deeply,6
default,14
defaulting,4
defaults,3
defend,1
deficits,1
defined,2
definition,3
definitive,3
deflation,1
degree,12
delayed,1
deliberations,5
deliver,4
delivered,2
deliveries,1
delivering,2
delivery,5
dell,1
delta,6
demand,28
demanding,1
demands,7
demise,1
democracies,1
democracy,1
democratic,6
demographic,2
demographics,3
demonstrate,4
demonstrated,2
demonstrates,1
den,1
denied,1
denominated,3
density,1
department,11
depend,8
dependable,2
dependence,3
dependent,6
depending,1
depends,6
deployed,5
deploying,2
deployment,1
deployments,1
deposit,9
deposited,1
depositor,1
depositors,1
depository,4
deposits,5
depress,1
depressing,1
depression,7
depth,3
depths,2
derail,1
derivative,4
derivatives,15
described,2
describes,2
describing,1
description,1
deserve,2
deserving,1
design,4
designed,12
designing,3
designs,2
desirable,4
desire,2
desired,10
despite,11
destabilizing,6
destined,1
destruction,1
detailed,3
details,2
detect,3
deteriorate,2
deteriorates,1
deteriorating,1
determinant,2
determinants,4
determination,1
determine,4
determined,5
determining,3
devastating,3
develop,11
developed,5
developing,9
development,44
developments,47
deviate,1
deviated,1
device,1
devices,1
devise,2
devising,1
devote,1
dewitt,2
dialogue,5
did,19
didn,1
difference,6
differences,5
different,20
differently,1
differing,2
difficult,27
difficulties,1
difficulty,2
digests,1
digital,8
digitalization,2
diligence,1
dime,1
dimensions,1
diminished,1
dinner,3
diploma,1
direct,4
direction,4
directives,1
directly,11
director,1
directors,25
disagreement,1
disagreements,1
disappeared,1
disappointed,1
disappointing,2
disapproving,1
disaster,1
disclosure,3
discount,1
discounted,1
discourage,3
discourse,2
discretely,1
discretion,3
discuss,27
discussed,11
discussing,5
discussion,32
discussions,21
disease,1
diseconomies,1
disinflation,1
disinflationary,2
dislocation,1
dislocations,4
dismiss,2
disparities,5
dispersion,1
displaying,1
disposal,2
disproportionate,1
disproportionately,1
disputes,1
disrupt,2
disrupted,1
disruption,2
disruptions,7
disruptive,3
disseminate,1
disseminating,1
dissolution,1
distance,1
distancing,3
distilling,1
distinctly,1
distinguished,4
distinguishes,2
distortions,2
distracted,1
distress,1
distributed,5
distributions,1
districts,3
divergence,1
diverse,10
diversify,1
diversifying,1
diversity,18
divided,2
dividends,3
divine,1
division,1
dlt,14
document,1
documentary,2
documentation,1
dodd,1
does,24
doesn,1
doing,22
dokko,1
dollar,22
domestic,15
domestically,1
dominant,2
dominated,2
don,4
donna,1
door,1
doors,1
dose,1
dot,13
dots,5
doubled,1
doubt,4
doubtless,1
downgraded,1
downplay,1
downs,2
downside,9
downtown,1
downturn,15
downturns,6
downward,10
doyle,1
dozen,1
dr,4
draft,1
drag,1
dramatic,4
dramatically,1
draw,4
drawing,1
drawn,1
dream,2
dreams,1
drew,1
drift,5
drive,4
driven,10
driver,2
drivers,1
drives,1
driving,7
drop,5
dropped,3
drops,1
dual,16
duca,2
dull,1
duopoly,1
durable,4
dust,1
duties,1
dwarf,1
dwarfed,1
dynamic,9
dynamics,6
dynamism,6
dysfunction,1
déjà,1
earlier,16
early,19
earn,1
earning,2
earnings,2
ease,1
eased,3
easier,8
easing,4
east,5
easy,5
ecb,1
eccles,7
echo,1
economic,199
economically,1
economics,44
economies,49
economist,3
economists,7
economy,250
ecosystem,3
edge,1
edged,1
edging,1
eds,6
edu,1
eduardo,1
educate,1
educated,2
educating,1
education,14
educational,1
educators,2
edward,1
edwin,1
effect,7
effective,34
effectively,10
effectiveness,12
effects,27
efficacy,3
efficiency,9
efficient,10
efficiently,3
effort,11
efforts,36
eggers,1
egon,1
eighth,1
elad,1
elb,12
elected,10
electronic,2
element,3
elements,5
elevated,12
elgar,1
eliminating,1
eluded,1
emanating,1
embark,1
embrace,3
embraced,1
embracing,1
eme,9
emerge,2
emerged,2
emergency,8
emerging,27
emes,7
emmanuel,1
emphasis,2
emphasize,7
emphasized,1
emphasizes,2
emphasizing,1
empirical,2
employed,2
employees,3
employers,7
employment,77
employs,1
empower,1
enable,4
enabled,2
enables,3
enabling,1
enact,1
enacted,2
enactment,1
encounter,1
encourage,15
encouraged,7
encouragement,1
encouraging,7
end,25
endanger,1
ended,2
ending,4
endpoint,1
ends,4
energy,7
enforce,1
enforcing,1
engage,11
engaged,1
engagement,6
engages,2
engaging,1
engine,1
england,1
english,2
enhance,13
enhanced,9
enhancements,1
enhances,2
enhancing,5
enigmatic,1
enjoy,4
enjoyable,1
enlarge,1
enlightening,1
enormous,2
enormously,1
enrich,1
ensue,1
ensure,33
ensured,1
ensures,3
ensuring,8
entail,3
enter,3
entered,2
entering,3
enterprise,1
enterprises,1
enters,1
enthusiasm,1
entire,1
entirely,3
entities,4
entity,1
entrants,2
entreaties,1
entrenched,2
entrepreneurial,1
entrepreneurs,3
entrepreneurship,3
entrusted,2
entry,2
environment,19
environments,1
envisioned,1
episode,5
episodes,8
equal,1
equally,2
equation,1
equilibrium,1
equipment,1
equipped,1
equities,1
equity,6
equivalent,1
era,22
eras,2
erased,1
erik,2
erosion,1
errors,2
escalating,2
escape,2
especially,18
essays,1
essence,1
essential,25
essentially,5
establish,5
established,7
establishing,4
establishments,1
estate,1
esther,1
estimate,10
estimated,1
estimates,27
estimation,1
eternal,1
ethnic,1
ethnicity,1
eugene,1
euro,2
europe,1
european,7
evaluate,2
evaluated,1
evaluates,1
evaluating,3
evaluation,1
evaluations,1
evening,4
evenly,1
event,21
eventful,1
events,33
eventual,1
eventually,4
everyday,1
evidence,12
evident,1
evolution,11
evolve,6
evolved,3
evolves,3
evolving,18
exacerbate,4
exactly,2
exaggerated,1
exam,1
examination,2
examine,1
examined,1
examining,5
example,36
examples,3
exceed,2
excellence,1
excellent,1
exception,2
exceptional,1
exceptions,1
excess,3
excesses,2
excessive,8
excessively,2
exchange,5
exciting,1
excluding,1
exclusively,1
execution,1
executives,1
exercise,7
exercised,1
exercises,3
exhausted,1
exhaustion,1
exhibit,1
exhibited,1
exigent,1
exist,1
existed,2
existence,1
existing,14
exists,2
exit,6
exits,1
expand,2
expanded,7
expanding,2
expansion,50
expansionary,2
expansions,6
expansive,1
expect,30
expectation,5
expectations,74
expected,28
expecting,1
expects,4
expenditure,2
expenditures,6
expensive,1
experience,23
experienced,5
experiences,4
experiencing,2
experiment,1
experimentation,2
experiments,1
expert,3
expertise,4
experts,5
explain,19
explained,5
explaining,3
explains,1
explanation,2
explanations,1
explanatory,1
explicit,5
explicitly,2
explore,5
explored,2
explores,1
exploring,2
export,8
exporters,1
exports,4
exposed,3
exposure,4
exposures,6
express,11
expressed,2
expressing,1
expression,1
extend,5
extended,6
extending,3
extends,1
extensive,5
extent,4
external,5
extraordinarily,1
extraordinary,10
extreme,1
extremely,2
eye,2
eyes,1
fabulous,1
face,45
faced,9
faces,4
facet,1
facets,2
facilitate,3
facilitating,4
facilities,4
facility,2
facing,11
fact,16
factor,13
factors,32
facts,2
fade,1
fading,2
fail,8
failed,4
failing,1
fails,3
failure,10
failures,1
fair,4
fairly,5
fairness,1
faith,1
faithfully,1
fall,18
fallback,2
fallbacks,1
fallen,9
falling,8
fallout,4
falls,2
faltering,1
familiar,1
families,9
family,5
famous,1
famously,1
fan,2
fannie,6
far,42
fare,1
farmed,1
fast,8
faster,31
fastest,1
fate,1
father,1
faust,1
favorable,19
favors,1
fca,4
fdic,1
fdr,1
feasible,3
feature,7
features,8
february,10
fed,126
feded,2
federal,212
federalreserve,1
federalreserveeducation,1
federated,3
feedback,8
feeds,1
feel,6
felix,1
fell,3
fellow,1
felt,9
fernald,2
fhfa,3
field,6
fifth,3
fight,1
figure,5
figures,1
figuring,1
file,1
filings,1
filled,1
filling,1
film,1
final,5
finalize,1
finalized,1
finalizing,1
finally,17
finance,31
financed,1
finances,6
financial,304
financing,5
finding,4
fingerprint,1
fingertips,2
finish,3
finn,1
finra,2
fintech,8
fireplace,1
firm,12
firmer,1
firming,2
firmly,5
firms,55
fiscal,19
fischer,1
fit,2
fits,1
fitting,2
fixed,4
fixes,1
flag,1
flags,1
flagship,1
flat,2
flaws,2
fledged,1
flexibility,3
flexible,4
flight,1
flip,1
flood,1
flow,7
flowing,1
flows,19
fluctuate,1
fluctuated,2
fluctuation,1
fluctuations,4
fluidity,1
focus,37
focused,14
focuses,2
focusing,7
follow,2
followed,2
following,6
follows,1
fomc,109
food,3
foot,1
foothold,1
footing,2
force,49
forced,2
forceful,5
forcefully,2
forces,8
forecast,5
forecaster,1
forecasters,7
forecasting,2
forecasts,12
foreclosures,1
forefront,2
foreign,6
foremost,2
foresaw,1
foreseeable,1
foreshorten,1
forestalled,1
forged,1
forget,2
form,11
formal,1
formality,1
formalized,1
formally,1
formation,4
formations,1
forming,1
forms,5
forthcoming,4
fortitude,1
fortunate,1
fortunately,4
fortune,1
fortunes,2
forum,3
forums,4
forward,52
forwarding,1
forwards,1
foster,10
fostered,1
fostering,4
fought,1
foundation,5
foundational,1
foundations,1
founded,2
founders,1
founding,1
fourth,10
fraction,2
fragile,1
fragment,1
fragmentation,2
fragmented,2
frame,1
framers,1
framework,42
frameworks,3
framing,1
france,2
francisco,1
frank,1
frankel,1
frankfurt,1
franklin,1
fratzscher,3
fraud,1
fraudulent,2
fraught,1
frbny,1
freddie,6
frederic,2
free,2
freed,1
freedom,1
frequent,5
frequently,3
fresh,1
frictions,2
friedman,3
friend,1
frontiers,1
frontline,1
frustration,1
fsb,9
fsoc,4
fueled,2
fueling,2
fuels,1
fulfill,1
fulfilling,2
fulfillment,1
fullest,1
fullscreen,1
fully,13
function,18
functionality,1
functioning,13
functions,8
fund,6
fundamental,14
fundamentally,5
fundamentals,4
funded,2
funding,18
funds,55
furthering,1
future,39
futures,6
fx,4
gained,8
gaining,1
gains,33
galbraith,1
gap,5
gaps,1
garnham,1
gas,1
gasoline,1
gather,4
gathered,2
gathering,1
gatherings,2
gaulier,1
gave,3
gdp,24
gdpnow,1
geert,1
gender,1
gene,1
general,8
generalized,1
generally,23
generate,3
generated,1
generating,1
generation,2
generational,1
generations,5
generators,1
geographic,2
geographical,1
geography,3
geolocation,1
geopolitical,3
germany,1
getting,9
giancarlo,1
giant,1
giants,1
gilchrist,1
giovanni,1
given,32
gives,2
giving,1
glad,2
glass,2
gleaned,1
glick,1
global,93
globalization,2
globe,4
gloss,1
goal,30
goals,37
goes,4
going,8
goldman,1
gone,4
gonzalo,1
good,65
goodfriend,1
goodhart,1
goods,6
gordon,4
gotten,1
gov,1
governance,15
government,33
governments,7
governor,4
governors,13
grade,1
grads,1
gradual,20
gradualism,1
gradually,22
graduate,1
graduated,1
graduates,3
graduating,1
grandparent,1
grandson,1
granite,1
grant,2
granted,5
granular,3
grapple,1
grappled,2
grappling,3
grasp,1
grateful,5
gratitude,2
great,51
greater,28
greatly,4
greenspan,3
greenwood,1
grew,4
grip,2
gripped,1
gripping,1
grocery,1
gross,9
ground,3
group,11
grouped,1
grouping,1
groups,9
grow,13
growing,19
grown,9
growth,216
grudgingly,1
grusky,1
gse,5
gses,14
guarantee,9
guaranteed,2
guard,1
guesses,1
guests,1
guidance,28
guide,7
guided,1
guides,1
guiding,2
guillaume,1
gulf,1
gustavo,1
gut,1
gyohten,1
habit,1
hac,2
half,23
hall,3
hallmark,1
halt,1
hand,3
handbook,2
handful,1
handle,2
hands,2
hangs,1
hanson,1
happen,2
happened,1
happens,1
happy,7
hard,11
harder,3
hardly,1
hardship,4
harm,3
harming,2
harmonised,1
harms,1
harper,1
hatzius,1
haul,1
hausman,1
having,10
hazy,2
hbcu,1
hbcus,1
head,1
headed,1
heading,1
headline,2
headquarters,1
headwinds,4
heal,2
healing,3
health,20
healthier,1
healthy,17
hear,7
heard,13
hearing,10
heart,5
heartened,1
heavily,5
heavy,2
hedge,1
heeding,1
heightened,7
held,25
hell,1
help,61
helped,9
helpful,1
helping,14
helps,8
hendren,2
henry,1
herbert,1
herbst,1
heritage,2
hesitate,1
heuvel,1
hide,1
high,46
higher,42
highest,3
highlight,9
highlighted,3
highlighting,3
highlights,2
highly,22
highs,2
hindered,1
hindsight,1
hints,1
hiring,2
hispanics,1
historic,6
historical,13
historically,9
history,17
hit,3
hitting,2
ho,1
hoerova,1
hogue,1
hold,32
holders,1
holding,17
holdings,6
holds,3
holland,1
holston,2
home,9
homebuyers,1
homeowners,1
homeownership,1
homes,1
hong,1
honor,5
honored,4
honoring,1
hope,17
hoped,1
hopes,1
hoping,1
horacio,1
hornbeck,1
hornbecks,1
hospital,1
hospitality,1
hospitals,2
host,3
hosting,2
hotel,1
hour,4
hourly,1
hours,3
house,2
household,15
households,31
houses,1
housing,36
https,1
huge,4
hugh,1
human,4
hundreds,2
hurt,1
hysteresis,1
hyun,1
iba,3
ice,2
idea,2
ideal,1
ideas,8
identification,2
identified,6
identify,12
identifying,2
identity,3
ignores,1
ii,5
iif,1
illegal,4
illness,1
illusions,1
illustrate,3
illustrated,1
illustrates,1
imagination,1
imagine,2
imbalances,5
imf,5
immaterial,1
immediate,1
immense,3
immigration,1
immoderate,1
impact,2
impair,1
impart,1
impede,2
implement,3
implementation,6
implemented,4
implementing,7
implications,28
implicit,3
implies,4
imply,1
import,4
importance,25
important,125
importantly,5
imports,4
