Date,Sent_Count
2016-12-19,8
2016-12-20,11
2016-12-21,-4
2016-12-22,-3
2016-12-23,15
2016-12-24,0
2016-12-25,11
2016-12-26,4
2016-12-27,4
2016-12-28,5
2016-12-29,-5
2016-12-30,10
2016-12-31,2
2017-01-01,0
2017-01-02,4
2017-01-03,2
2017-01-04,4
2017-01-05,3
2017-01-06,31
2017-01-07,7
2017-01-08,9
2017-01-09,16
2017-01-10,3
2017-01-11,6
2017-01-12,28
2017-01-13,-10
2017-01-14,4
2017-01-15,0
2017-01-16,5
2017-01-17,-11
2017-01-18,10
2017-01-19,5
2017-01-20,9
2017-01-21,-1
2017-01-22,16
2017-01-23,13
2017-01-24,7
2017-01-25,5
2017-01-26,13
2017-01-27,16
2017-01-28,-7
2017-01-29,3
2017-01-30,9
2017-01-31,0
2017-02-01,8
2017-02-02,-5
2017-02-03,10
2017-02-04,29
2017-02-05,16
2017-02-06,6
2017-02-07,52
2017-02-08,70
2017-02-09,-7
2017-02-10,32
2017-02-11,3
2017-02-12,16
2017-02-13,-10
2017-02-14,14
2017-02-15,-1
2017-02-16,8
2017-02-17,8
2017-02-18,30
2017-02-19,14
2017-02-20,2
2017-02-21,42
2017-02-22,14
2017-02-23,16
2017-02-24,29
2017-02-25,0
2017-02-26,18
2017-02-27,19
2017-02-28,15
2017-03-01,6
2017-03-02,39
2017-03-03,27
2017-03-04,0
2017-03-05,17
2017-03-06,4
2017-03-07,0
2017-03-08,-7
2017-03-09,10
2017-03-10,13
2017-03-11,25
2017-03-12,-1
2017-03-13,40
2017-03-14,12
2017-03-15,-11
2017-03-16,50
2017-03-17,25
2017-03-18,9
2017-03-19,2
2017-03-20,17
2017-03-21,-52
2017-03-22,1
2017-03-23,4
2017-03-24,28
2017-03-25,17
2017-03-26,1
2017-03-27,9
2017-03-28,17
2017-03-29,12
2017-03-30,10
2017-03-31,12
2017-04-01,4
2017-04-02,18
2017-04-03,-5
2017-04-04,26
2017-04-05,28
2017-04-06,37
2017-04-07,-5
2017-04-08,34
2017-04-09,17
2017-04-10,-13
2017-04-11,-12
2017-04-12,53
2017-04-13,-4
2017-04-14,10
2017-04-15,12
2017-04-16,-3
2017-04-17,15
2017-04-18,14
2017-04-19,-1
2017-04-20,2
2017-04-21,2
2017-04-22,-16
2017-04-23,6
2017-04-24,5
2017-04-25,27
2017-04-26,14
2017-04-27,17
2017-04-28,3
2017-04-29,2
2017-04-30,10
2017-05-01,16
2017-05-02,11
2017-05-03,-2
2017-05-04,0
2017-05-05,12
2017-05-06,15
2017-05-07,12
2017-05-08,-13
2017-05-09,8
2017-05-10,15
2017-05-11,35
2017-05-12,5
2017-05-13,3
2017-05-14,-5
2017-05-15,23
2017-05-16,22
2017-05-17,22
2017-05-18,21
2017-05-19,-6
2017-05-20,6
2017-05-21,7
2017-05-22,4
2017-05-23,16
2017-05-24,12
2017-05-25,42
2017-05-26,-2
2017-05-27,-7
2017-05-28,2
2017-05-29,-1
2017-05-30,-2
2017-05-31,-5
2017-06-01,32
2017-06-02,10
2017-06-03,15
2017-06-04,-4
2017-06-05,12
2017-06-06,-43
2017-06-07,5
2017-06-08,11
2017-06-09,-7
2017-06-10,10
2017-06-11,-1
2017-06-12,37
2017-06-13,-2
2017-06-14,3
2017-06-15,-14
2017-06-16,20
2017-06-17,2
2017-06-18,10
2017-06-19,4
2017-06-20,21
2017-06-21,13
2017-06-22,26
2017-06-23,-13
2017-06-24,43
2017-06-25,23
2017-06-26,30
2017-06-27,18
2017-06-28,3
2017-06-29,-14
2017-06-30,11
2017-07-01,1
2017-07-02,3
2017-07-03,6
2017-07-04,0
2017-07-05,1
2017-07-06,-9
2017-07-07,14
2017-07-08,-11
2017-07-09,9
2017-07-10,7
2017-07-11,-7
2017-07-12,18
2017-07-13,29
2017-07-14,40
2017-07-15,13
2017-07-16,4
2017-07-17,10
2017-07-18,1
2017-07-19,13
2017-07-20,14
2017-07-21,24
2017-07-22,7
2017-07-23,12
2017-07-24,21
2017-07-25,31
2017-07-26,49
2017-07-27,34
2017-07-28,18
2017-07-29,1
2017-07-30,-7
2017-07-31,-7
2017-08-01,11
2017-08-02,13
2017-08-03,48
2017-08-04,17
2017-08-05,16
2017-08-06,5
2017-08-07,12
2017-08-08,5
2017-08-09,2
2017-08-10,-11
2017-08-11,22
2017-08-12,0
2017-08-13,18
2017-08-14,22
2017-08-15,10
2017-08-16,27
2017-08-17,1
2017-08-18,-9
2017-08-19,0
2017-08-20,-1
2017-08-21,16
2017-08-22,12
2017-08-23,37
2017-08-24,-1
2017-08-25,12
2017-08-26,-3
2017-08-27,10
2017-08-28,-2
2017-08-29,-5
2017-08-30,6
2017-08-31,24
2017-09-01,23
2017-09-02,6
2017-09-03,5
2017-09-04,-3
2017-09-05,8
2017-09-06,-3
2017-09-07,2
2017-09-08,10
2017-09-09,9
2017-09-10,7
2017-09-11,20
2017-09-12,2
2017-09-13,-23
2017-09-14,11
2017-09-15,11
2017-09-16,2
2017-09-17,-11
2017-09-18,14
2017-09-19,6
2017-09-20,1
2017-09-21,-15
2017-09-22,41
2017-09-23,1
2017-09-24,6
2017-09-25,7
2017-09-26,-9
2017-09-27,6
2017-09-28,21
2017-09-29,15
2017-09-30,-7
2017-10-01,12
2017-10-02,17
2017-10-03,6
2017-10-04,-8
2017-10-05,6
2017-10-06,-24
2017-10-07,-14
2017-10-08,9
2017-10-09,12
2017-10-10,13
2017-10-11,-14
2017-10-12,11
2017-10-13,17
2017-10-14,-3
2017-10-15,0
2017-10-16,-3
2017-10-17,17
2017-10-18,30
2017-10-19,22
2017-10-20,17
2017-10-21,1
2017-10-22,10
2017-10-23,4
2017-10-24,7
2017-10-25,-7
2017-10-26,-7
2017-10-27,15
2017-10-28,10
2017-10-29,7
2017-10-30,1
2017-10-31,29
2017-11-01,26
2017-11-02,2
2017-11-03,20
2017-11-04,4
2017-11-05,4
2017-11-06,15
2017-11-07,22
2017-11-08,16
2017-11-09,10
2017-11-10,10
2017-11-11,0
2017-11-12,8
2017-11-13,8
2017-11-14,6
2017-11-15,-10
2017-11-16,3
2017-11-17,13
2017-11-18,-14
2017-11-19,3
2017-11-20,9
2017-11-21,13
2017-11-22,23
2017-11-23,-3
2017-11-24,2
2017-11-25,15
2017-11-26,10
2017-11-27,10
2017-11-28,-4
2017-11-29,16
2017-11-30,-2
2017-12-01,-4
2017-12-02,11
2017-12-03,-1
2017-12-04,4
2017-12-05,9
2017-12-06,3
2017-12-07,2
2017-12-08,8
2017-12-09,-6
2017-12-10,-4
2017-12-11,9
2017-12-12,6
2017-12-13,-13
2017-12-14,4
2017-12-15,14
2017-12-16,2
2017-12-17,5
2017-12-18,25
2017-12-19,13
2017-12-20,21
2017-12-21,36
2017-12-22,15
2017-12-23,-6
2017-12-24,0
2017-12-25,7
2017-12-26,24
2017-12-27,13
2017-12-28,5
2017-12-29,0
2017-12-30,-6
2017-12-31,0
2018-01-01,20
2018-01-02,29
2018-01-03,17
2018-01-04,-3
2018-01-05,30
2018-01-06,19
2018-01-07,0
2018-01-08,9
2018-01-09,-13
2018-01-10,11
2018-01-11,26
2018-01-12,30
2018-01-13,-2
2018-01-14,10
2018-01-15,-3
2018-01-16,4
2018-01-17,20
2018-01-18,-2
2018-01-19,-11
2018-01-20,-8
2018-01-21,2
2018-01-22,3
2018-01-23,18
2018-01-24,32
2018-01-25,7
2018-01-26,21
2018-01-27,6
2018-01-28,15
2018-01-29,9
2018-01-30,23
2018-01-31,42
2018-02-01,26
2018-02-02,-13
2018-02-03,23
2018-02-04,-20
2018-02-05,-14
2018-02-06,3
2018-02-07,24
2018-02-08,-56
2018-02-09,-13
2018-02-10,-10
2018-02-11,-5
2018-02-12,1
2018-02-13,18
2018-02-14,25
2018-02-15,23
2018-02-16,6
2018-02-17,50
2018-02-18,-12
2018-02-19,0
2018-02-20,1
2018-02-21,6
2018-02-22,18
2018-02-23,-5
2018-02-24,9
2018-02-25,1
2018-02-26,28
2018-02-27,5
2018-02-28,20
2018-03-01,12
2018-03-02,-20
2018-03-03,1
2018-03-04,-11
2018-03-05,14
2018-03-06,8
2018-03-07,0
2018-03-08,36
2018-03-09,1
2018-03-10,7
2018-03-11,-2
2018-03-12,2
2018-03-13,0
2018-03-14,14
2018-03-15,-5
2018-03-16,-10
2018-03-17,-1
2018-03-18,-4
2018-03-19,-10
2018-03-20,-1
2018-03-21,-10
2018-03-22,-20
2018-03-23,-12
2018-03-24,-7
2018-03-25,4
2018-03-26,15
2018-03-27,2
2018-03-28,9
2018-03-29,4
2018-03-30,11
2018-03-31,12
2018-04-01,-4
2018-04-02,-22
2018-04-03,16
2018-04-04,27
2018-04-05,-1
2018-04-06,5
2018-04-07,6
2018-04-08,-1
2018-04-09,10
2018-04-10,5
2018-04-11,10
2018-04-12,2
2018-04-13,-9
2018-04-14,-2
2018-04-15,5
2018-04-16,-19
2018-04-17,-3
2018-04-18,45
2018-04-19,-5
2018-04-20,-1
2018-04-21,0
2018-04-22,11
2018-04-23,17
2018-04-24,1
2018-04-25,33
2018-04-26,13
2018-04-27,4
2018-04-28,17
2018-04-29,-21
2018-04-30,-1
2018-05-01,12
2018-05-02,20
2018-05-03,-4
2018-05-04,15
2018-05-05,9
2018-05-06,-2
2018-05-07,-2
2018-05-08,41
2018-05-09,24
2018-05-10,52
2018-05-11,36
2018-05-12,6
2018-05-13,12
2018-05-14,31
2018-05-15,18
2018-05-16,19
2018-05-17,32
2018-05-18,26
2018-05-19,7
2018-05-20,-4
2018-05-21,10
2018-05-22,23
2018-05-23,37
2018-05-24,-25
2018-05-25,35
2018-05-26,5
2018-05-27,21
2018-05-28,7
2018-05-29,44
2018-05-30,-8
2018-05-31,-8
2018-06-01,17
2018-06-02,5
2018-06-03,-3
2018-06-04,6
2018-06-05,25
2018-06-06,22
2018-06-07,43
2018-06-08,4
2018-06-09,10
2018-06-10,63
2018-06-11,39
2018-06-12,20
2018-06-13,5
2018-06-14,42
2018-06-15,55
2018-06-16,-4
2018-06-17,19
2018-06-18,7
2018-06-19,12
2018-06-20,58
2018-06-21,3
2018-06-22,-19
2018-06-23,17
2018-06-24,4
2018-06-25,-19
2018-06-26,5
2018-06-27,12
2018-06-28,41
2018-06-29,-6
2018-06-30,2
2018-07-01,16
2018-07-02,25
2018-07-03,-6
2018-07-04,6
2018-07-05,74
2018-07-06,0
2018-07-07,0
2018-07-08,11
2018-07-09,1
2018-07-10,48
2018-07-11,46
2018-07-12,19
2018-07-13,23
2018-07-14,-7
2018-07-15,49
2018-07-16,-20
2018-07-17,61
2018-07-18,7
2018-07-19,49
2018-07-20,47
2018-07-21,17
2018-07-22,60
2018-07-23,20
2018-07-24,9
2018-07-25,91
2018-07-26,8
2018-07-27,-7
2018-07-28,6
2018-07-29,22
2018-07-30,20
2018-07-31,25
2018-08-01,26
2018-08-02,-4
2018-08-03,41
2018-08-04,18
2018-08-05,10
2018-08-06,29
2018-08-07,49
2018-08-08,38
2018-08-09,18
2018-08-10,43
2018-08-11,6
2018-08-13,6
2018-08-14,7
2018-08-15,28
2018-08-16,13
2018-08-17,15
2018-08-18,20
2018-08-19,13
2018-08-20,50
2018-08-21,19
2018-08-22,38
2018-08-23,41
2018-08-24,43
2018-08-25,8
2018-08-26,15
2018-08-27,75
2018-08-28,58
2018-08-29,43
2018-08-30,33
2018-08-31,23
2018-09-01,25
2018-09-02,0
2018-09-03,44
2018-09-04,10
2018-09-05,32
2018-09-06,-4
2018-09-07,31
2018-09-08,9
2018-09-09,31
2018-09-10,0
2018-09-11,38
2018-09-12,55
2018-09-13,16
2018-09-14,29
2018-09-15,59
2018-09-16,33
2018-09-17,0
2018-09-18,57
2018-09-19,53
2018-09-20,82
2018-09-21,32
2018-09-22,1
2018-09-23,-7
2018-09-24,-12
2018-09-25,15
2018-09-26,21
2018-09-27,42
2018-09-28,-28
2018-09-29,-24
2018-09-30,25
2018-10-01,29
2018-10-02,10
2018-10-03,64
2018-10-04,34
2018-10-05,-16
2018-10-06,22
2018-10-07,-2
2018-10-08,53
2018-10-09,19
2018-10-10,-16
2018-10-11,-17
2018-10-12,17
2018-10-13,-2
2018-10-14,-19
2018-10-15,56
2018-10-16,40
2018-10-17,29
2018-10-18,6
2018-10-19,6
2018-10-20,-31
2018-10-21,-15
2018-10-22,-10
2018-10-23,59
2018-10-24,97
2018-10-25,-25
2018-10-26,3
2018-10-27,-26
2018-10-28,-2
2018-10-29,-12
2018-10-30,30
2018-10-31,-6
2018-11-01,23
2018-11-02,-9
2018-11-03,17
2018-11-04,-4
2018-11-05,46
2018-11-06,13
2018-11-07,54
2018-11-08,28
2018-11-09,-20
2018-11-10,-20
2018-11-11,1
2018-11-12,7
2018-11-13,-14
2018-11-14,-1
2018-11-15,-1
2018-11-16,8
2018-11-17,-22
2018-11-18,1
2018-11-19,-21
2018-11-20,7
2018-11-21,-4
2018-11-22,6
2018-11-23,4
2018-11-24,13
2018-11-25,-15
2018-11-26,52
2018-11-27,15
2018-11-28,-6
2018-11-29,2
2018-11-30,-6
2018-12-01,-11
2018-12-02,-17
2018-12-03,1
2018-12-04,8
2018-12-05,1
2018-12-06,-40
2018-12-07,-2
2018-12-08,-2
2018-12-09,9
2018-12-10,-13
2018-12-11,13
2018-12-12,-14
2018-12-13,-11
2018-12-14,-9
2018-12-15,3
2018-12-16,8
2018-12-17,-27
2018-12-18,5
2018-12-19,-28
2018-12-20,15
2018-12-21,-21
2018-12-22,-27
2018-12-23,-12
2018-12-24,-36
2018-12-25,3
2018-12-26,-13
2018-12-27,-17
2018-12-28,13
2018-12-29,-3
2018-12-30,-2
2018-12-31,-5
2019-01-01,6
2019-01-02,-4
2019-01-03,-68
2019-01-04,-4
2019-01-05,0
2019-01-06,24
2019-01-07,-18
2019-01-08,32
2019-01-09,-10
2019-01-10,6
2019-01-11,-5
2019-01-12,10
2019-01-13,9
2019-01-14,-34
2019-01-15,-10
2019-01-16,-11
2019-01-17,-13
2019-01-18,-2
2019-01-19,33
2019-01-20,-16
2019-01-21,-4
2019-01-22,4
2019-01-23,2
2019-01-24,16
2019-01-25,-30
2019-01-26,14
2019-01-27,60
2019-01-28,-38
2019-01-29,-47
2019-01-30,7
2019-01-31,40
2019-02-01,49
2019-02-02,-27
2019-02-03,11
2019-02-04,24
2019-02-05,50
2019-02-06,45
2019-02-07,41
2019-02-08,-20
2019-02-09,32
2019-02-10,10
2019-02-11,46
2019-02-12,27
2019-02-13,27
2019-02-14,11
2019-02-15,-7
2019-02-16,-6
2019-02-17,2
2019-02-18,3
2019-02-19,-26
2019-02-20,6
2019-02-21,-2
2019-02-22,7
2019-02-23,14
2019-02-24,2
2019-02-25,2
2019-02-26,-2
2019-02-27,0
2019-02-28,-7
2019-03-01,7
2019-03-02,37
2019-03-03,-5
2019-03-04,51
2019-03-05,33
2019-03-06,7
2019-03-07,-13
2019-03-08,8
2019-03-09,25
2019-03-10,11
2019-03-11,-26
2019-03-12,-20
2019-03-13,-36
2019-03-14,-8
2019-03-15,-15
2019-03-16,34
2019-03-17,25
2019-03-18,-9
2019-03-19,25
2019-03-20,2
2019-03-21,12
2019-03-22,-9
2019-03-23,109
2019-03-24,34
2019-03-25,24
2019-03-26,-15
2019-03-27,18
2019-03-28,-4
2019-03-29,6
2019-03-30,31
2019-03-31,7
2019-04-01,67
2019-04-02,13
2019-04-03,19
2019-04-04,14
2019-04-05,20
2019-04-06,47
2019-04-07,33
2019-04-08,43
2019-04-09,-7
2019-04-10,9
2019-04-11,22
2019-04-12,28
2019-04-13,-15
2019-04-14,-37
2019-04-15,73
2019-04-16,39
2019-04-17,58
2019-04-18,1
2019-04-19,6
2019-04-20,50
2019-04-21,18
2019-04-22,26
2019-04-23,46
2019-04-24,63
2019-04-25,9
2019-04-26,31
2019-04-27,32
2019-04-28,38
2019-04-29,58
2019-04-30,17
2019-05-01,2
2019-05-02,18
2019-05-03,7
2019-05-04,5
2019-05-05,1
2019-05-06,51
2019-05-07,-13
2019-05-08,30
2019-05-09,28
2019-05-10,16
2019-05-11,47
2019-05-12,-6
2019-05-13,-17
2019-05-14,24
2019-05-15,-21
2019-05-16,24
2019-05-17,2
2019-05-18,-12
2019-05-19,38
2019-05-20,-8
2019-05-21,-33
2019-05-22,20
2019-05-23,-7
2019-05-24,0
2019-05-25,50
2019-05-26,4
2019-05-27,12
2019-05-28,18
2019-05-29,-24
2019-05-30,-1
2019-05-31,-12
2019-06-01,-8
2019-06-02,-13
2019-06-03,-7
2019-06-04,-5
2019-06-05,27
2019-06-06,25
2019-06-07,64
2019-06-08,13
2019-06-09,31
2019-06-10,11
2019-06-11,19
2019-06-12,28
2019-06-13,25
2019-06-14,12
2019-06-15,8
2019-06-16,34
2019-06-17,2
2019-06-18,14
2019-06-19,39
2019-06-20,44
2019-06-21,-31
2019-06-22,59
2019-06-23,4
2019-06-24,8
2019-06-25,21
2019-06-26,-3
2019-06-27,12
2019-06-28,1
2019-06-29,57
2019-06-30,-12
2019-07-01,19
2019-07-02,10
2019-07-03,27
2019-07-04,-5
2019-07-05,1
2019-07-06,27
2019-07-07,12
2019-07-08,-53
2019-07-09,22
2019-07-10,11
2019-07-11,18
2019-07-12,-14
2019-07-13,14
2019-07-14,-15
2019-07-15,5
2019-07-16,29
2019-07-17,15
2019-07-18,27
2019-07-19,14
2019-07-20,115
2019-07-21,21
2019-07-22,37
2019-07-23,20
2019-07-24,22
2019-07-25,23
2019-07-26,8
2019-07-27,46
2019-07-28,16
2019-07-29,34
2019-07-30,-6
2019-07-31,-15
2019-08-01,17
2019-08-02,12
2019-08-03,-58
2019-08-04,9
2019-08-05,-19
2019-08-06,-3
2019-08-07,-18
2019-08-08,8
2019-08-09,-3
2019-08-10,-2
2019-08-11,-11
2019-08-12,-13
2019-08-13,10
2019-08-14,12
2019-08-15,-51
2019-08-16,-46
2019-08-17,-24
2019-08-18,-7
2019-08-19,21
2019-08-20,42
2019-08-21,-10
2019-08-22,48
2019-08-23,-11
2019-08-24,-16
2019-08-25,-31
2019-08-26,17
2019-08-27,22
2019-08-28,21
2019-08-29,26
2019-08-30,16
2019-08-31,23
2019-09-01,-24
2019-09-02,-8
2019-09-03,6
2019-09-04,47
2019-09-05,19
2019-09-06,16
2019-09-07,23
2019-09-08,-5
2019-09-09,9
2019-09-10,-12
2019-09-11,6
2019-09-12,-6
2019-09-13,-44
2019-09-14,71
2019-09-15,-1
2019-09-16,43
2019-09-17,39
2019-09-18,-36
2019-09-19,0
2019-09-20,16
2019-09-21,4
2019-09-22,11
2019-09-23,-35
2019-09-24,-14
2019-09-25,16
2019-09-26,19
2019-09-27,16
2019-09-28,-1
2019-09-29,23
2019-09-30,-30
2019-10-01,4
2019-10-02,-24
2019-10-03,2
2019-10-04,-20
2019-10-05,1
2019-10-06,-9
2019-10-07,-27
2019-10-08,-28
2019-10-09,1
2019-10-10,-8
2019-10-11,-11
2019-10-12,29
2019-10-13,16
2019-10-14,-14
2019-10-15,27
2019-10-16,-4
2019-10-17,55
2019-10-18,69
2019-10-19,31
2019-10-20,-2
2019-10-21,-2
2019-10-22,39
2019-10-23,56
2019-10-24,64
2019-10-25,30
2019-10-26,74
2019-10-27,13
2019-10-28,0
2019-10-29,38
2019-10-30,60
2019-10-31,38
2019-11-01,90
2019-11-02,75
2019-11-03,8
2019-11-04,1
2019-11-05,-49
2019-11-06,-32
2019-11-07,-21
2019-11-08,35
2019-11-09,49
2019-11-10,-6
2019-11-11,27
2019-11-12,10
2019-11-13,37
2019-11-14,-16
2019-11-15,47
2019-11-16,24
2019-11-17,8
2019-11-18,33
2019-11-19,54
2019-11-20,64
2019-11-21,-13
2019-11-22,21
2019-11-23,75
2019-11-24,0
2019-11-25,44
2019-11-26,26
2019-11-27,15
2019-11-28,26
2019-11-29,54
2019-11-30,111
2019-12-01,-8
2019-12-02,-12
2019-12-03,-7
2019-12-04,11
2019-12-05,51
2019-12-06,57
2019-12-07,67
2019-12-08,12
2019-12-09,5
2019-12-10,-14
2019-12-11,28
2019-12-12,23
2019-12-13,2
2019-12-14,33
2019-12-15,-1
2019-12-16,45
2019-12-17,26
2019-12-18,40
2019-12-19,32
2019-12-20,-8
2019-12-21,23
2019-12-22,9
2019-12-23,23
2019-12-24,27
2019-12-25,23
2019-12-26,58
2019-12-27,26
2019-12-28,-11
2019-12-29,6
2019-12-30,11
2019-12-31,13
2020-01-01,46
2020-01-02,19
2020-01-03,14
2020-01-04,26
2020-01-05,6
2020-01-06,39
2020-01-07,48
2020-01-08,-13
2020-01-09,1
2020-01-10,51
2020-01-11,16
2020-01-12,25
2020-01-13,44
2020-01-14,126
2020-01-15,25
2020-01-16,85
2020-01-17,38
2020-01-18,152
2020-01-19,61
2020-01-20,104
2020-01-21,29
2020-01-22,48
2020-01-23,42
2020-01-24,88
2020-01-25,65
2020-01-26,0
2020-01-27,-26
2020-01-28,30
2020-01-29,26
2020-01-30,60
2020-01-31,37
2020-02-01,-22
2020-02-02,-29
2020-02-03,10
2020-02-04,73
2020-02-05,97
2020-02-06,104
2020-02-07,100
2020-02-08,85
2020-02-09,27
2020-02-10,167
2020-02-11,132
2020-02-12,116
2020-02-13,42
2020-02-14,138
2020-02-15,91
2020-02-16,97
2020-02-17,38
2020-02-18,14
2020-02-19,150
2020-02-20,131
2020-02-21,233
2020-02-22,109
2020-02-23,-18
2020-02-24,-18
2020-02-25,-20
2020-02-26,-16
